id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,lyrics
1,Dance Monkey,Tones and I,pop,neutral,0.588,98.03,0.513,0.824,0.692,100,"They say, ""Oh my God, I see the way you shine Take your hands, my dear, and place them both in mine"" You know you stopped me dead while I was passing by And now I beg to see you dance just one more time Ooh, I see you, see you, see you every time And oh my, I, I like your style You, you make me, make me, make me wanna cry And now I beg to see you dance just one more time So they say Dance for me, dance for me, dance for me, oh-oh-oh I've never seen anybody do the things you do before They say Mo"
2,ROXANNE,Arizona Zervas,latin,neutral,0.601,116.74,0.457,0.621,0.052,99,"All for the 'Gram Bitches love the 'Gram Oh, wait, shit Brr, brr (Ayy, yeah, yeah, yeah, ayy) Brr, brr, brr, ayy Skrrt skrrt Ninety four don't need no brakes, yeah Roxanne, Roxanne All she wanna do is party all night God damn, Roxanne Never gonna love me, but it's alright She think I'm an asshole, she think I'm a player She keep running back, though, only 'cause I pay up Roxanne, Roxanne All she wanna do is party all night Met her at a party in the hills, yeah She just wanna do it for the thrill"
3,Circles,Post Malone,pop,neutral,0.762,120.04,0.553,0.695,0.192,98,"Oh, oh, oh Oh,  oh, oh Oh,  oh, oh, oh, oh We couldn't turn around 'til we were upside down I'll be the bad guy now, but know I ain't too proud I  couldn't be there even when I tried You  don't believe it, we do this every time Seasons change and our love went cold Feed  the flame 'cause we can't let go Run away, but we're running in circles Run away, run away I dare you to do something I'm  waiting on you again, so I don't take the blame Run away, but we're running in circles Run away, run away"
4,Blinding Lights,The Weeknd,pop,sad,0.7959999999999999,171.02,0.345,0.513,0.001,98,"Yeah I've been tryna call I've been on my own for long enough Maybe you can show me how to love, maybe I'm going through withdrawals You don't even have to do too much You can turn me on with just a touch, baby I look around and Sin City's cold and empty (Oh) No one's around to judge me (Oh) I can't see clearly when you're gone I said, ooh, I'm blinded by the lights No, I can't sleep until I feel your touch I said, ooh, I'm drowning in the night Oh, when I'm like this, you're the one I trust Hey"
5,The Box,Roddy Ricch,rap,happy,0.586,116.97,0.642,0.896,0.104,98,"Pullin' out the coupe at the lot Told 'em fuck 12, fuck SWAT Bustin' all the bells out the box I just hit a lick with the box Had to put the stick in the box, mmh Pour up the whole damn seal, I'ma get lazy I got the mojo deals, we been trappin' like the '80s She sucked a nigga soul, gotta Cash App Told 'em wipe a nigga nose, say slatt, slatt I won't never sell my soul, and I can back that And I really wanna know where you at, at I was out back where the stash at Cruise the city in a bulletproof "
6,Memories,Maroon 5,pop,neutral,0.32,91.02,0.575,0.764,0.837,98,"Here's to the ones that we got Cheers to the wish you were here, but you're not 'Cause the drinks bring back all the memories Of everything we've been through Toast to the ones here today Toast to the ones that we lost on the way 'Cause the drinks bring back all the memories And the memories bring back, memories bring back you There's a time that I remember, when I did not know no pain When I believed in forever, and everything would stay the same Now my heart feel like December when somebody sa"
7,everything i wanted,Billie Eilish,pop,sad,0.225,120.01,0.243,0.704,0.902,97,"I had a dream I got everything I wanted Not what you'd think And if I'm bein' honest It might've been a nightmare To anyone who might care Thought I could fly (Fly) So I stepped off the Golden, mm Nobody cried (Cried, cried, cried, cried) Nobody even noticed I saw them standing right there Kinda thought they might care (Might care, might care) I had a dream I got everything I wanted But when I wake up, I see You with me And you say, ""As long as I'm here, no one can hurt you Don't wanna lie here,"
8,Falling,Trevor Daniel,pop,sad,0.43,127.09,0.236,0.784,0.123,97,"Oh Ooh, ooh My last made me feel like I would never try again But when I saw you, I felt something I never felt Come closer, I'll give you all my love If you treat me right, baby, I'll give you everything My last made me feel like I would never try again But when I saw you, I felt something I never felt Come closer, I'll give you all my love If you treat me right, baby, I'll give you everything Talk to me, I need to hear you need me like I need ya Fall for me, I wanna know you feel how I feel fo"
9,Don't Start Now,Dua Lipa,pop,happy,0.7929999999999999,123.94,0.677,0.794,0.012,97,"If you don't wanna see me Did a full 180, crazy Thinking 'bout the way I was Did the heartbreak change me? Maybe But look at where I ended up I'm all good already So moved on, it's scary I'm not where you left me at all, so If you don't wanna see me dancing with somebody If you wanna believe that anything could stop me Don't show up, don't come out Don't start caring about me now Walk away, you know how Don't start caring about me now Aren't you the guy who tried to Hurt me with the word ""goodby"
10,Yummy,Justin Bieber,pop,neutral,0.519,145.84,0.495,0.662,0.404,95,"Yeah, you got that yummy-yum That yummy-yum, that yummy-yummy Yeah, you got that yummy-yum That yummy-yum, that yummy-yummy Say the word, on my way Yeah, babe, yeah, babe, yeah, babe Any night, any day Say the word, on my way Yeah, babe, yeah, babe, yeah, babe In the mornin' or the late Say the word, on my way Bona fide stallion Ain't in no stable, no, you stay on the run Ain't on the side, you're number one Yeah, every time I come around, you get it done Fifty-fifty, love the way you split it H"
11,bad guy,Billie Eilish,pop,neutral,0.425,135.13,0.562,0.701,0.328,95,"White shirt now red, my bloody nose Sleepin', you're on your tippy toes Creepin' around like no one knows Think you're so criminal Bruises on both my knees for you Don't say thank you or please I do what I want when I'm wanting to My soul? So cynical So you're a tough guy Like it really rough guy Just can't get enough guy Chest always so puffed guy I'm that bad type Make your mama sad type Make your girlfriend mad tight Might seduce your dad type I'm the bad guy Duh I'm the bad guy I like it whe"
12,My Oh My (feat. DaBaby),Camila Cabello,pop,sad,0.491,105.05,0.383,0.724,0.018,94,"They say he likes a good time (My oh my) He comes alive at midnight (Every night) My mama doesn't trust him (My oh my) He's only here for one thing, but (So am I) Yeah, a little bit older, a black leather jacket A bad reputation, insatiable habits He was onto me, one look and I couldn't breathe, yeah I said, if he kissed me, I might let it happen (Oh) I swear on my life that I've been a good girl (Oh) Tonight, I don't wanna be her They say he likes a good time (My oh my) He comes alive at midnig"
